====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
====Running MPQLAM experiment with seed 0 on instance with IP = ec2-13-57-184-46.us-west-1.compute.amazonaws.com ==== 
----------------------------------------
Test Episodes: 30, Avg. Reward: -1001.46 Avg. Success: 0.0 Std. Reward: 0.0
----------------------------------------
Episode: 235, total numsteps: 23600, episode steps: 100, reward: -593.92
Episode: 236, total numsteps: 23700, episode steps: 100, reward: -531.31
Episode: 237, total numsteps: 23800, episode steps: 100, reward: -616.33
Episode: 238, total numsteps: 23900, episode steps: 100, reward: -557.34
Episode: 239, total numsteps: 24000, episode steps: 100, reward: -586.01
----------------------------------------
Test Episodes: 30, Avg. Reward: -493.95 Avg. Success: 10.0 Std. Reward: 0.0
----------------------------------------
Episode: 240, total numsteps: 24100, episode steps: 100, reward: -622.62
Episode: 241, total numsteps: 24200, episode steps: 100, reward: -603.02
Episode: 242, total numsteps: 24300, episode steps: 100, reward: -596.94
Episode: 243, total numsteps: 24400, episode steps: 100, reward: -616.2
Episode: 244, total numsteps: 24500, episode steps: 100, reward: -609.15
Episode: 245, total numsteps: 24600, episode steps: 100, reward: -532.45
Episode: 246, total numsteps: 24700, episode steps: 100, reward: -2.53
Episode: 247, total numsteps: 24800, episode steps: 100, reward: -529.45
Episode: 248, total numsteps: 24900, episode steps: 100, reward: -585.03
Episode: 249, total numsteps: 25000, episode steps: 100, reward: -8.17
Episode: 250, total numsteps: 25100, episode steps: 100, reward: -623.26
Episode: 251, total numsteps: 25200, episode steps: 100, reward: -617.1
Episode: 252, total numsteps: 25300, episode steps: 100, reward: -616.53
Episode: 253, total numsteps: 25400, episode steps: 100, reward: -50.32
Episode: 254, total numsteps: 25500, episode steps: 100, reward: -613.74
Episode: 255, total numsteps: 25600, episode steps: 100, reward: -605.51
Episode: 256, total numsteps: 25700, episode steps: 100, reward: -624.33
Episode: 257, total numsteps: 25800, episode steps: 100, reward: -623.22
Episode: 258, total numsteps: 25900, episode steps: 100, reward: -608.11
Episode: 259, total numsteps: 26000, episode steps: 100, reward: -589.21
Episode: 260, total numsteps: 26100, episode steps: 100, reward: -559.18
Episode: 261, total numsteps: 26200, episode steps: 100, reward: -6.2
Episode: 262, total numsteps: 26300, episode steps: 100, reward: -620.56
Episode: 263, total numsteps: 26400, episode steps: 100, reward: -609.52
Episode: 264, total numsteps: 26500, episode steps: 100, reward: -580.14
Episode: 265, total numsteps: 26600, episode steps: 100, reward: -618.28
Episode: 266, total numsteps: 26700, episode steps: 100, reward: -547.61
Episode: 267, total numsteps: 26800, episode steps: 100, reward: -620.57
Episode: 268, total numsteps: 26900, episode steps: 100, reward: -6.5
Episode: 269, total numsteps: 27000, episode steps: 100, reward: -533.49
Episode: 270, total numsteps: 27100, episode steps: 100, reward: -580.13
Episode: 271, total numsteps: 27200, episode steps: 100, reward: -607.07
Episode: 272, total numsteps: 27300, episode steps: 100, reward: -553.54
Episode: 273, total numsteps: 27400, episode steps: 100, reward: -621.42
Episode: 274, total numsteps: 27500, episode steps: 100, reward: -579.05
Episode: 275, total numsteps: 27600, episode steps: 100, reward: -592.15
Episode: 276, total numsteps: 27700, episode steps: 100, reward: -608.54
Episode: 277, total numsteps: 27800, episode steps: 100, reward: -611.31
Episode: 278, total numsteps: 27900, episode steps: 100, reward: -624.04
Episode: 279, total numsteps: 28000, episode steps: 100, reward: -613.69
----------------------------------------
Test Episodes: 30, Avg. Reward: -467.6 Avg. Success: 10.0 Std. Reward: 0.0
----------------------------------------
Episode: 280, total numsteps: 28100, episode steps: 100, reward: -481.7
Episode: 281, total numsteps: 28200, episode steps: 100, reward: -588.55
